gpsc	stCount	st
1	132	202, 236, 237, 257, 271, 283, 320, 420, 635, 651, 652, 763, 925, 926, 1396, 1412, 1421, 1428, 1451, 1464, 1583, 1937, 2267, 2410, 2514, 2694, 2697, 2706, 2812, 2834, 2920, 2998, 3259, 3791, 4251, 4414, 4472, 4768, 5053, 5459, 5650, 6141, 6844, 7123, 7132, 7915, 8359, 8487, 8678, 9356, 9656, 9659, 9744, 9906, 9933, 10143, 10223, 10683, 10731, 10822, 10825, 10829, 11101, 11116, 11129, 11157, 11326, 11396, 11696, 12134, 12136, 12140, 12185, 12186, 12189, 12211, 12228, 12229, 12308, 12366, 12526, 12533, 12534, 12536, 12537, 12543, 12560, 12586, 12591, 12617, 12686, 12706, 12709, 12712, 12728, 12730, 12765, 12766, 12767, 12822, 12825, 12827, 13934, 13948, 15538, 15576, 15635, 15674, 15678, 15726, 15849, 15851, 15939, 15953, 15964, 15971, 15972, 15979, 15982, 15987, 15996, 16005, 16008, 16022, 16023, 16028, 16049, 16079, 16108, 16868, 16970, 17106
2	57	217, 303, 611, 612, 613, 614, 615, 618, 2084, 2296, 3081, 3575, 3579, 3581, 5002, 5012, 5044, 5191, 5672, 5802, 6056, 6983, 8158, 8314, 9067, 9231, 9529, 10649, 10996, 11046, 11104, 11736, 11740, 11743, 11745, 11779, 12150, 12160, 12165, 12197, 12305, 12310, 12333, 12470, 12546, 12556, 12739, 12781, 12803, 14507, 15652, 15720, 15919, 16064, 16753, 17067, 17089
3	52	53, 60, 62, 100, 408, 445, 496, 662, 673, 717, 1012, 1050, 1367, 2223, 2420, 2705, 3000, 3132, 3276, 3308, 3778, 3847, 5298, 6360, 7507, 8989, 9029, 9750, 10068, 10145, 10711, 10857, 10920, 11074, 11124, 11686, 12148, 12167, 12542, 12547, 12574, 12715, 12735, 12754, 12755, 12823, 13888, 13889, 13947, 16088, 16292, 16958
4	39	199, 200, 201, 274, 411, 416, 419, 450, 645, 649, 667, 668, 876, 1200, 1673, 1756, 1757, 1936, 2081, 2154, 2220, 2269, 2273, 2344, 2472, 2540, 3426, 3934, 4642, 8290, 9763, 12376, 12711, 12729, 12731, 15181, 15582, 16296, 17097
5	130	75, 172, 277, 337, 338, 359, 361, 387, 791, 918, 988, 1131, 1150, 1188, 1373, 1447, 1526, 1535, 2218, 2345, 2372, 2464, 2777, 2904, 2930, 2932, 3163, 4028, 4104, 4168, 4293, 4968, 5183, 5242, 5547, 5549, 5814, 6140, 6553, 6849, 6980, 7096, 7480, 8197, 9488, 9913, 9914, 10149, 10150, 10272, 10542, 10599, 10603, 10650, 10652, 10724, 10732, 10744, 10767, 10809, 10817, 10889, 10899, 11119, 11704, 11706, 11707, 11715, 11716, 11717, 11899, 12126, 12164, 12213, 12327, 12329, 12352, 12380, 12390, 12398, 12479, 12509, 12525, 12541, 12580, 12593, 12594, 12672, 12717, 12742, 12761, 12835, 13816, 13873, 13916, 13919, 14428, 14492, 14588, 14897, 14925, 14956, 15737, 15754, 15776, 15786, 15819, 15824, 15846, 15865, 15929, 15943, 16048, 16080, 16124, 16137, 16185, 16193, 16275, 16277, 16287, 16706, 16737, 16897, 16918, 16931, 16943, 16955, 16966, 17131
6	68	44, 143, 156, 162, 163, 166, 333, 334, 370, 379, 466, 608, 609, 643, 671, 839, 933, 971, 1206, 1227, 1269, 1357, 1556, 1569, 1836, 1857, 1864, 2128, 2335, 2722, 2733, 2867, 3811, 4026, 4949, 6521, 7427, 7432, 7456, 8398, 8488, 9910, 9912, 10174, 10449, 10834, 11921, 12505, 12506, 12507, 12508, 12554, 12704, 12758, 12830, 12834, 12839, 13932, 13933, 14426, 14427, 14448, 14491, 14525, 15752, 15905, 16111, 17113
7	50	33, 36, 37, 42, 264, 311, 355, 436, 438, 439, 507, 628, 629, 692, 727, 778, 804, 945, 992, 1011, 1389, 1839, 1847, 2319, 5473, 7318, 7336, 7461, 8802, 9447, 9452, 9749, 9751, 10727, 11063, 12122, 12139, 12251, 12287, 12733, 12762, 12826, 12852, 13874, 14522, 14523, 15176, 15564, 15623, 17126
8	24	245, 289, 3339, 3404, 4219, 5056, 5659, 5896, 7050, 7222, 9935, 10999, 12311, 14156, 14435, 14436, 15179, 15180, 15685, 15816, 16065, 16188, 16716, 17087
9	120	63, 374, 782, 842, 861, 1191, 1915, 2097, 2100, 2108, 2414, 2447, 2613, 2675, 2678, 3036, 3310, 3816, 4532, 4561, 4593, 4652, 4898, 4902, 4905, 4906, 4907, 4912, 5004, 5187, 5285, 5435, 5589, 6043, 7061, 7270, 7551, 7552, 7645, 8019, 8324, 8346, 9352, 9426, 9468, 9646, 9727, 9735, 9864, 9939, 10211, 10575, 10608, 10737, 10758, 10894, 11018, 11022, 11029, 11030, 11041, 11152, 11399, 11503, 11687, 12239, 12260, 12272, 12334, 12360, 12364, 12484, 12485, 12555, 12559, 12576, 12723, 12738, 12787, 13585, 13952, 14293, 14452, 14541, 14557, 14558, 14581, 15321, 15537, 15610, 15615, 15651, 15664, 15693, 15803, 15821, 15834, 15884, 15885, 15886, 15912, 15932, 15945, 16018, 16021, 16142, 16265, 16719, 16735, 16759, 16765, 16770, 16805, 16808, 16850, 16908, 16917, 17054, 17061, 17066
10	122	230, 276, 319, 650, 700, 878, 1047, 1087, 1553, 1611, 1701, 2013, 2037, 2307, 2355, 2707, 3133, 3135, 3772, 3936, 3974, 3980, 4253, 4266, 4351, 4677, 5033, 5034, 5195, 5240, 5567, 5912, 6227, 6353, 6741, 8374, 8509, 8812, 8857, 9108, 9540, 10696, 10745, 10811, 10840, 10879, 10917, 10921, 10928, 11021, 11052, 11100, 11106, 11151, 11429, 11748, 11749, 12210, 12301, 12424, 12473, 12474, 12498, 12499, 12684, 12790, 12794, 12819, 12894, 13324, 13543, 13727, 13877, 13880, 13885, 13925, 14420, 14482, 14488, 14489, 14490, 14499, 14508, 14518, 14535, 14556, 14582, 15060, 15584, 15585, 15586, 15587, 15633, 15650, 15671, 15681, 15684, 15691, 15696, 15703, 15755, 15759, 15767, 15784, 15805, 15832, 15949, 16037, 16092, 16096, 16416, 16710, 16721, 16740, 16771, 16787, 16788, 16795, 16837, 16926, 16965, 17098
