no	clone	referenceNo	atccNo	serotype	pen	tax	ery	cli	chl	tet	sxt	sequenceType	gpsc	mlstProfile	pbpProfile	ermMef	reference	referenceUrl
1	Spain<sup>23F</sup>-1	SP264	700669	23F	1.0	1.5	0.25	0.19	16	64.0	2.0	ST81	16	4-4-2-4-4-1-1	1-1-1	-	Coffey et al 1991 Mol Microbiol,McDougal et al 1992 Antimicrob Agents Chemother,Munoz et al 1991 J Infect Dis	https://doi.org/10.1111/j.1365-2958.1991.tb02155.x,https://doi.org/10.1128/aac.36.10.2176,https://doi.org/10.1093/infdis/164.2.302
2	Spain<sup>6B</sup>-2	GM17	700670	6B	0.5	0.75	0.19	0.19	16	48.0	2.0	ST90	23	5-6-1-2-6-3-4	1-2-2	-	Munoz et al 1992 Clin Infect Dis	https://doi.org/10.1093/clinids/15.1.112
3	Spain<sup>9V</sup>-3	TL7/1993	700671	9V	1.5	0.75	0.125	0.19	3	0.5	1.5	ST156	6	7-11-10-1-6-8-1	1-1-1	-	Coffey et al 1991 Mol Microbiol,Lefèvre et al 1995 Eur J Clin Microbiol Infect Dis	https://doi.org/10.1111/j.1365-2958.1991.tb02155.x,https://doi.org/10.1007/bf02113426
4	Tennessee<sup>23F</sup>-4	CS111	51916	23F	0.125	32.0	32	0.125	3	0.25	2.0	ST37	7	1-8-6-2-6-4-6	2-3-3	mef	McDougal et al 1995 Antimicrob Agents Chemother,Sloas et al 1992 Pediatr Infect Dis J	https://doi.org/10.1128/aac.39.10.2282,https://pubmed.ncbi.nlm.nih.gov/1523079/
5	Spain<sup>14</sup>-5	MS22	700902	14	1.5	1.0	0.19	0.125	32	24.0	0.25	ST18	18	1-5-4-11-9-3-16	1-4-1	-	Coffey et al 1996 Microbiology (Reading)	https://doi.org/10.1099/13500872-142-10-2747
6	Hungary<sup>19A</sup>-6	HUN663	700673	19A	1.0	0.75	>256	>256	24	48.0	3.0	ST268	738	7-13-42-6-10-6-56	3-5-4	erm	Munoz et al 1992 Clin Infect Dis,Marton et al 1991 J Infect Dis	https://doi.org/10.1093/clinids/15.1.112,https://doi.org/10.1093/infdis/163.3.542
7	S.Africa<sup>19A</sup>-7	17619	700674	19A	0.19	0.094	0.25	0.19	4	1.0	4.0	ST75	5	2-13-8-25-25-6-8	4-6-5	-	Smith et al 1997 Microb Drug Resist	https://doi.org/10.1089/mdr.1997.3.385
8	S.Africa<sup>6B</sup>-8	50803	700675	6B	0.19	0.125	0.19	0.19	2	0.5	1.5	ST185	77	7-22-1-2-5-1-14	5-7-6	-	Smith et al 1997 Microb Drug Resist	https://doi.org/10.1089/mdr.1997.3.385
9	England<sup>14</sup>-9	PN93/872/B	700676	14	0.016	0.016	64	0.125	3	0.5	0.064	ST9	18	1-5-4-5-5-1-8	6-5-7	mef	Hall et al 1996 J Clin Microbiol	https://doi.org/10.1128/jcm.34.4.853-859.1996
10	CSR<sup>14</sup>-10	87-029055	700677	14	8.0	1.0	>256	>256	32	48.0	0.25	ST20	18	1-5-4-1-5-3-3	7-8-8	erm	Figueiredo et al 1995 Microb Drug Resist,Jabes et al 1989 J Infect Dis	https://doi.org/10.1089/mdr.1995.1.71,https://doi.org/10.1093/infdis/159.1.16
11	CSR<sup>19A</sup>-11	91-006571	700678	19A	6.0	0.5	>256	>256	24	64.0	2.0	ST175	18	7-5-4-26-10-3-55	7-8-8	erm	Figueiredo et al 1995 Microb Drug Resist,Jabes et al 1989 J Infect Dis	https://doi.org/10.1089/mdr.1995.1.71,https://doi.org/10.1093/infdis/159.1.16
12	Finland<sup>6B</sup>-12	43362 Fi10	700903	6B	4.0	0.75	>256	>256	8	64.0	6.0	ST270	23	5-6-43-2-6-1-28	1-9-1	erm	Sibold et al 1992 Infect Immun	https://doi.org/10.1128/iai.60.10.4119-4126.1992
13	S.Africa<sup>19A</sup>-13	51702	700904	19A	1.5	0.5	>256	>256	24	48.0	4.0	ST41	631	1-8-9-5-11-1-12	8-10-9	erm	Smith et al 1997 Microb Drug Resist	https://doi.org/10.1089/mdr.1997.3.385
14	Taiwan<sup>19F</sup>-14	TW31	700905	19F	2.0	0.75	16	0.25	16	48.0	2.0	ST236	1	15-16-19-15-6-20-26	9-11-9	mef	Shi et al 1998 J Clin Microbiol	https://doi.org/10.1128/jcm.36.12.3514-3519.1998
15	Taiwan<sup>23F</sup>-15	TW17	700906	23F	0.75	0.75	>256	>256	4	48.0	0.25	ST242	14	15-29-4-21-30-1-14	9-12-10	erm	Shi et al 1998 J Clin Microbiol	https://doi.org/10.1128/jcm.36.12.3514-3519.1998
16	Poland<sup>23F</sup>-16	178	BAA-343	23F	8.0	4.0	>256	0.25	16	64.0	1.5	ST173	681	7-13-8-1-10-6-36	4-13-1	-	Overweg et al 1999 J Clin Microbiol	https://doi.org/10.1128/jcm.37.6.1739-1745.1999
17	Maryland<sup>6B</sup>-17	4752-98	BAA-342	6B	1.5	1.0	24	0.19	3	0.75	2.0	ST384	23	7-6-9-2-6-1-67	10-14-1	mef	Gherardi et al 2000 J Infect Dis	https://doi.org/10.1086/315194
18	Tennessee<sup>14</sup>-18	4954-98	BAA-340	14	4.0	12.0	>256	>256	3	32.0	2.0	ST67	16	2-8-7-4-6-1-1	11-15-11	erm	Gherardi et al 2000 J Infect Dis	https://doi.org/10.1086/315194
19	Colombia<sup>5</sup>-19	Spn1439-106	BAA-341	5	0.003	0.016	0.125	0.125	16	32.0	0.19	ST289	8	16-12-9-1-41-33-33	12-5-12	-	Tamayo et al 1999 J Clin Microbiol	https://doi.org/10.1128/jcm.37.7.2337-2342.1999
20	Poland<sup>6B</sup>-20	2708	BAA-612	6B	0.064	0.032	>256	>256	8	64.0	0.5	ST315	47	20-28-1-1-15-14-14	12-16-13	erm	Overweg et al 1999 J Clin Microbiol	https://doi.org/10.1128/jcm.37.6.1739-1745.1999
21	Portugal<sup>19F</sup>-21	DCC98	BAA-657	19F	0.032	0.032	>256	>256	4	12.0	0.047	ST177	44	7-14-4-12-1-1-14	13-17-14	erm	Sá-Leão et al 2000 J Infect Dis	https://doi.org/10.1086/315813
22	Greece<sup>6B</sup>-22	GR890	BAA-658	6B	0.023	0.047	>256	>256	16	96.0	0.25	ST273	23	5-6-1-2-6-1-14	12-5-12	erm	Syrogiannopoulos et al 1997 Clin Infect Dis,Syrogiannopoulos et al 2000 Int J Antimicrob Agents	https://doi.org/10.1086/514526,https://doi.org/10.1016/s0924-8579(00)00194-1
23	N.Carolina<sup>6A</sup>-23	97-1177	BAA-659	6A	1.0	0.75	4	0.19	3	0.5	1.0	ST376	97	6-11-1-1-15-72-77	9-18-15	mef	Richter et al 2002 Clin Infect Dis	https://doi.org/10.1086/338065
24	Utah<sup>35B</sup>-24	94-3330	BAA-660	35B	1.0	0.75	0.125	0.125	3	0.38	0.38	ST377	59	18-12-4-44-14-77-93	14-15-1	-	Richter et al 2002 Clin Infect Dis	https://doi.org/10.1086/338065
25	Sweden<sup>15A</sup>-25	DCC1476	BAA-661	15A	0.064	0.047	>256	>256	4	0.25	0.094	ST63	9	2-5-36-12-17-21-14	15-10-16	erm	Sá-Leão et al 2000 J Infect Dis	https://doi.org/10.1086/315813
26	Colombia<sup>23F</sup>-26	DCC1587	-	23F	0.064	0.094	0.19	0.19	4	0.5	0.094	ST338	5	7-13-8-6-1-6-8	12-6-17	-	Sá-Leão et al 2000 J Infect Dis	https://doi.org/10.1086/315813
27	Sweden<sup>1</sup>-27	PJ351/1	BAA-1654	1	0.006	0.016	0.19	0.19	4	0.38	0.38	ST217	2	10-18-4-1-7-19-9	-	-	Porat et al 2001 J Clin Microbiol,Brueggemann et al 2003 J Clin Microbiol	https://doi.org/10.1128/jcm.39.5.1827-1832.2001,https://doi.org/10.1128/jcm.41.11.4966-4970.2003
28	Sweden<sup>1</sup>-28	PJ755/1	BAA-1655	1	0.006	0.016	0.19	0.125	2	0.25	0.047	ST306	31	12-8-13-5-16-4-20	-	-	Brueggemann et al 2003 J Clin Microbiol,Normark et al 2001 J Infect Dis	https://doi.org/10.1128/jcm.41.11.4966-4970.2003,https://doi.org/10.1086/323339
29	USA<sup>1</sup>-29	NCTC7465	33400	1	0.012	0.016	0.125	0.125	2	0.25	0.125	ST615	2	10-31-4-1-6-4-94	-	-	Brueggemann et al 2003 J Clin Microbiol	https://doi.org/10.1128/jcm.41.11.4966-4970.2003
30	Greece<sup>21</sup>-30	JJ273-21	BAA-1656	21	0.016	0.094	0.25	0.125	3	0.25	0.125	ST193	11	8-10-2-16-1-26-1	-	-	Syrogiannopoulos et al 1997 Clin Infect Dis,Bogaert et al 2000 J Clin Microbiol	https://doi.org/10.1086/514526,https://doi.org/10.1128/jcm.38.12.4361-4366.2000
31	Netherlands<sup>3</sup>-31	M264-3	BAA-1657	3	0.023	0.023	0.19	0.125	4	0.38	0.047	ST180	12	7-15-2-10-6-1-22	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
32	Denmark<sup>14</sup>-32	PN528	BAA-1658	14	1.0	0.75	0.125	0.125	3	64.0	1.5	ST230	10	12-19-2-17-6-22-14	-	-	Pantosti et al 2002 Clin Infect Dis	https://doi.org/10.1086/341250
33	Netherlands<sup>8</sup>-33	M270-8	BAA-1659	8	0.016	0.023	0.19	0.19	3	0.38	0.032	ST53	3	2-5-1-11-16-3-14	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
34	Denmark<sup>12F</sup>-34	M293-12F	BAA-1660	12F	0.016	0.016	0.19	0.19	3	0.25	0.047	ST218	32	10-20-14-1-6-1-29	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
35	Netherlands<sup>14</sup>-35	M269-14	BAA-1661	14	0.016	0.023	0.25	0.25	3	0.5	0.094	ST124	39	7-5-1-8-14-11-14	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
36	Netherlands<sup>18C</sup>-36	M241-18C	BAA-1662	18C	0.023	0.023	0.125	0.19	3	0.38	0.064	ST113	50	7-2-1-1-10-1-21	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
37	Netherlands<sup>15B</sup>-37	M254-15B	BAA-1663	15B	0.012	0.023	0.125	0.19	2	0.25	0.094	ST199	4	8-13-14-4-17-4-14	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
38	Sweden<sup>4</sup>-38	M5-4	BAA-1664	4	0.012	0.016	0.125	0.19	4	0.25	0.094	ST205	27	10-5-4-5-13-10-18	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
39	Netherlands<sup>7F</sup>-39	M248-7F	BAA-1665	7F	0.012	0.016	0.19	0.19	3	0.5	0.094	ST191	15	8-9-2-1-6-1-17	-	-	Enright et al 1998 Microbiology (Reading)	https://doi.org/10.1099/00221287-144-11-3049
40	Sweden<sup>1</sup>-40	PJ537-1	BAA-1666	1	0.012	0.012	0.125	0.125	2	0.19	0.125	ST304	31	13-8-13-5-17-4-8	-	-	Brandileone et al 1998 Microb Drug Resist	https://doi.org/10.1089/mdr.1998.4.209
41	Portugal<sup>6A</sup>-41	DCC501	BAA-1667	6A	0.012	0.023	0.125	0.125	3	0.38	0.75	ST327	29	1-5-7-12-10-1-14	-	-	Sousa et al 2005 J Clin Microbiol	https://doi.org/10.1128/jcm.43.9.4696-4703.2005
42	Norway<sup>NT</sup>-42	1141/96	BAA-1668	NT	0.094	0.125	4	0.064	2	32.0	0.38	ST344	81	8-37-9-29-2-12-53	-	mef	Sousa et al 2005 J Clin Microbiol	https://doi.org/10.1128/jcm.43.9.4696-4703.2005
43	USA<sup>NT</sup>-43	SP165	BAA-1669	NT	0.094	0.094	4	0.094	3	32.0	0.25	ST448	60	8-5-2-27-2-11-71	-	-	Martin et al 2003 N Engl J Med	https://doi.org/10.1056/nejmoa022521
