count	serotype	accessionNumber	comments	reference	referenceUrl	cpsImage	cpsRemark	genBankFile	poolSerum	typeSerum	groupSerum	factorSerum	otherSerum	otherSerumRemark	antiserumNote	capsularStructureImage	capsularStructureRemark
1	1	CR931632	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_1_cps.svg	-	res/serotype_genbank/serotype_1.gb	"A,P"	1	-	-	-	-	-	serotype_1_capsular_structure.svg	-
2	2	CR931633	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_2_cps.svg	-	res/serotype_genbank/serotype_2.gb	"A,T"	2	-	-	-	-	-	serotype_2_capsular_structure.svg	-
3	3	CR931634	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_3_cps.svg	-	res/serotype_genbank/serotype_3.gb	"B,R"	3	-	-	-	-	-	serotype_3_capsular_structure.svg	-
4	4	CR931635	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_4_cps.svg	-	res/serotype_genbank/serotype_4.gb	"A,R"	4	-	-	-	-	-	serotype_4_capsular_structure.svg	-
5	5	CR931637	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_5_cps.svg	-	res/serotype_genbank/serotype_5.gb	"A,S"	5	-	-	-	-	-	serotype_5_capsular_structure.svg	-
6	6A	CR931638	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_6A_cps.svg	-	res/serotype_genbank/serotype_6A.gb	"B,Q"	-	6	6b	-	-	-	serotype_6A_capsular_structure.svg	-
-	6E(6A)	-	Genetic variant of 6A	Park et al 2017 Genome Announc	https://doi.org/10.1128/genomeA.01728-16	-	-	-	"B,Q"	-	6	6b	-	-	-	-	-
7	6B	CR931639	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_6B_cps.svg	-	res/serotype_genbank/serotype_6B.gb	"B,Q"	-	6	6c	-	-	-	serotype_6B_capsular_structure.svg	-
-	6E(6B)	LT594599	Genetic variant of 6B	Kapatai et al 2016 PeerJ	https://doi.org/10.7717%2Fpeerj.2477	-	-	res/serotype_genbank/serotype_6E_6B.gb	"B,Q"	-	6	6c	-	-	-	-	-
8	6C	"EF538714,EF538715,EF538716,EF538717,EF538718"	-	"Park et al 2007 J Clin Microbiol,Park et al 2007 Infect Immun"	"https://doi.org/10.1128/JCM.02199-06,https://doi.org/10.1128/iai.00510-07"	serotype_6C_cps.svg	-	res/serotype_genbank/serotype_6C.gb	"B,Q"	-	6	6d	-	-	-	serotype_6C_capsular_structure.svg	-
9	6D	HM448897	-	Nahm et al 2011 J Med Microbiol	https://doi.org/10.1099%2Fjmm.0.023853-0	serotype_6D_cps.svg	-	res/serotype_genbank/serotype_6D.gb	"B,Q"	-	6	"6c,6d"	-	-	-	serotype_6D_capsular_structure.svg	-
10	6F	KC832410	-	Oliver et al 2013 J Biol Chem	https://doi.org/10.1074%2Fjbc.M113.480152	serotype_6F_cps.svg	-	res/serotype_genbank/serotype_6F.gb	-	-	-	-	-	-	-	-	6A + 6C
11	6G	KC832411	-	Oliver et al 2013 J Biol Chem	https://doi.org/10.1074%2Fjbc.M113.480152	serotype_6G_cps.svg	-	res/serotype_genbank/serotype_6G.gb	-	-	-	-	-	-	-	-	6B + 6D
12	6H	KF597302	-	Park et al 2015 Clin Vaccine Immunol	https://doi.org/10.1128/CVI.00647-14	serotype_6H_cps.svg	Partial sequence only	res/serotype_genbank/serotype_6H.gb	-	-	-	-	-	-	-	-	6A + 6B
13	7A	CR931640	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_7A_cps.svg	-	res/serotype_genbank/serotype_7A.gb	"C,P"	-	7	"7b,7c"	-	-	-	serotype_7A_capsular_structure.svg	-
14	7B	CR931641	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_7B_cps.svg	-	res/serotype_genbank/serotype_7B.gb	"C,P"	-	7	7e	-	-	-	serotype_7B_capsular_structure.svg	-
15	7C	CR931642	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_7C_cps.svg	-	res/serotype_genbank/serotype_7C.gb	"C,P"	-	7	7f	-	-	-	serotype_7C_capsular_structure.svg	-
16	7D	-	-	Kjeldsen et al 2018 Carbohydr Res	https://doi.org/10.1016/j.carres.2018.04.011	-	-	-	-	-	-	-	-	-	-	-	7B (1X) + 7C (5X)
17	7F	CR931643	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_7F_cps.svg	-	res/serotype_genbank/serotype_7F.gb	"C,P"	-	7	7b	-	-	-	serotype_7F_capsular_structure.svg	-
18	8	CR931644	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_8_cps.svg	-	res/serotype_genbank/serotype_8.gb	"B,S"	8	-	-	-	-	-	serotype_8_capsular_structure.svg	-
19	9A	CR931645	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_9A_cps.svg	-	res/serotype_genbank/serotype_9A.gb	"D,R"	-	9	9d	-	-	-	serotype_9A_capsular_structure.svg	-
20	9L	CR931646	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_9L_cps.svg	-	res/serotype_genbank/serotype_9L.gb	"D,R"	-	9	9b	-	-	-	serotype_9L_capsular_structure.svg	-
21	9N	CR931647	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_9N_cps.svg	-	res/serotype_genbank/serotype_9N.gb	"D,R"	-	9	"9b,9e"	-	-	-	serotype_9N_capsular_structure.svg	-
22	9V	CR931648	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_9V_cps.svg	-	res/serotype_genbank/serotype_9V.gb	"D,R"	-	9	"9d,9g"	-	-	-	serotype_9V_capsular_structure.svg	-
23	10A	CR931649	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_10A_cps.svg	-	res/serotype_genbank/serotype_10A.gb	"E,S"	-	10	10d	-	-	-	serotype_10A_capsular_structure.svg	-
24	10B	CR931650	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_10B_cps.svg	-	res/serotype_genbank/serotype_10B.gb	"E,S"	-	10	"10b,10d"	-	-	-	serotype_10B_capsular_structure.svg	-
25	10C	CR931651	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_10C_cps.svg	-	res/serotype_genbank/serotype_10C.gb	"E,S"	-	10	"10b,10f"	-	-	-	serotype_10C_capsular_structure.svg	-
26	10D	ERR051587	-	Ganaie et al 2020 mBio	https://doi.org/10.1128/mBio.00937-20	serotype_10D_cps.svg	-	res/serotype_genbank/serotype_10D.gb	-	-	-	-	-	-	-	serotype_10D_capsular_structure.svg	-
27	10F	CR931652	-	"Bentley et al 2006 PloS Genet,Yang et al 2011 J Biol Chem"	"https://doi.org/10.1371/journal.pgen.0020031,https://doi.org/10.1074/jbc.M111.255422"	serotype_10F_cps.svg	-	res/serotype_genbank/serotype_10F.gb	"E,S"	-	10	10b	-	-	-	serotype_10F_capsular_structure.svg	-
28	11A	CR931653	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_11A_cps.svg	-	res/serotype_genbank/serotype_11A.gb	"D,T"	-	11	11c	-	-	-	serotype_11A_capsular_structure.svg	-
29	11B	CR931654	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_11B_cps.svg	-	res/serotype_genbank/serotype_11B.gb	"D,T"	-	11	"11b,11f,11g"	-	-	-	serotype_11B_capsular_structure.svg	-
30	11C	CR931655	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_11C_cps.svg	-	res/serotype_genbank/serotype_11C.gb	"D,T"	-	11	"11b,11c,11f"	-	-	-	serotype_11C_capsular_structure.svg	-
31	11D	CR931656	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_11D_cps.svg	-	res/serotype_genbank/serotype_11D.gb	"D,T"	-	11	"11b,11c"	-	-	-	serotype_11D_capsular_structure.svg	-
32	11E	-	-	Calix et al 2010 J Infect Dis	https://doi.org/10.1086/653123	serotype_11E_cps.svg	-	res/serotype_genbank/serotype_11E.gb	-	-	-	-	-	-	-	serotype_11E_capsular_structure.svg	-
-	11Av	-	A serovariant which is an intermediate variant of 11A and 11E	Camilli et al 2014 PloS ONE	https://doi.org/10.1371/journal.pone.0100722	-	-	-	-	-	-	-	-	-	-	-	-
33	11F	CR931657	-	Calix et al 2011 J Bacteriology	https://doi.org/10.1128/JB.05034-11	serotype_11F_cps.svg	-	res/serotype_genbank/serotype_11F.gb	"D,T"	-	11	"11b,11g"	-	-	-	serotype_11F_capsular_structure.svg	-
_	11F-like	MF140334	Genetic variant of 11A	Manna et al 2018 Clin Microbiol Infect	https://doi.org/10.1016%2Fj.cmi.2017.06.031	serotype_11F-like_cps.svg	-	res/serotype_genbank/serotype_11F-like.gb	-	-	-	-	-	-	-	-	-
34	12A	CR931658	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_12A_cps.svg	-	res/serotype_genbank/serotype_12A.gb	"E,R"	-	12	12c	-	-	-	serotype_12A_capsular_structure.svg	-
35	12B	CR931659	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_12B_cps.svg	-	res/serotype_genbank/serotype_12B.gb	"E,R"	-	12	"12b,12c,12e"	-	-	-	-	-
36	12F	CR931660	-	Bentley et al 2006 PloS Genet	https://doi.org/10.1371/journal.pgen.0020031	serotype_12F_cps.svg	-	res/serotype_genbank/serotype_12F.gb	"E,R"	-	12	12b	-	-	-	serotype_12F_capsular_structure.svg	-
